date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close,volume_log
2014-01-03,9.986667,10.165333,9.77,10.006667,92826000,55.34407089342224,54.440117846652825,-37.37364406,15.213422424213173,9.68210666,9.820166824312883,10.49423998,9.67428442,0.169471610562633,9.74079995,0.3953330000000008,0.4026411651229593,0.4475496484415416,9.970667,18.346237341702103
2014-01-04,10.0,10.146,9.906667,9.970667,70425000,53.74262870999453,53.82152101490924,-81.30447089,17.48112987448799,9.6528,9.826069020017528,10.49569332,9.680190109,0.1626230229475354,9.77616665,0.2393330000000002,0.3793114272482508,0.4326770305962963,9.8,18.070058885926212
2014-01-07,10.0,10.026667,9.682667,9.8,80416500,46.32817440108696,50.87040959780368,-123.427544,-37.82470804,9.62946666,9.825046667557528,10.496739989999998,9.682577132228715,0.1417896050761324,9.7979,0.3439999999999994,0.3742669376413577,0.4263429569429573,9.957333,18.202729949409512
2014-01-08,9.841333,10.026667,9.683333,9.957333,75511500,53.26303664348189,53.40675031543484,-84.78465082,-20.77943148,9.59774666,9.830234551890282,10.50340665,9.68805054614626,0.1364020713258611,9.8379,0.3433340000000004,0.3698479465497352,0.4204137456985703,10.085333,18.13979553374387
2014-01-09,9.923333,10.246667,9.917333,10.085333,92448000,58.36866023586809,55.423025782272944,60.79966223717453,43.57055865773594,9.57323998,9.840238755399689,10.51114665,9.695963871,0.1408374557265741,9.87016665,0.3293340000000011,0.3640602398997732,0.4139080495424238,9.835333,18.342156893064992
2014-01-10,10.166667,10.228667,9.79,9.835333,80730000,46.73519299445152,50.79922930279471,-19.6813938,0.3077872381904833,9.55279998,9.840046367,10.514833309999998,9.698739590624609,0.1227644668448775,9.88796665,0.4386670000000006,0.374718348,0.4156765460124686,9.714667,18.20662082375817
2014-01-11,9.897333,9.926667,9.483333,9.714667,111691500,42.01924127753384,48.687885384478506,-149.8968265,-95.0575794,9.52779998,9.835129373071146,10.51537998,9.69905677,0.097579915,9.9082,0.4433340000000001,0.384520584,0.4176520784492664,9.289333,18.531251173409608
2014-01-14,9.718667,9.8,9.188,9.289333,94741500,29.696194797246505,42.05306223341885,-174.2346917,-186.7602042,9.5012933,9.813724943247928,10.50855331,9.690898429465468,0.042806628,9.8811,0.6120000000000001,0.417017644,0.431534072905236,10.751333,18.36666269869515
2014-01-15,9.366667,10.8,9.111333,10.751333,414105000,67.69233627245819,61.48274539627785,124.64114082664808,83.58407544425502,9.50306662,9.850494960280262,10.51749331,9.712011278089776,0.1160320406768633,9.9265,1.6886670000000006,0.5986818375302401,0.521329282,10.942,19.841630125235916
2014-01-16,11.23,11.482,10.806667,10.942,306984000,70.14716499013217,63.215027078534064,194.87958934391773,276.0370868426141,9.50567996,9.893300280323388,10.52217998,9.73649725,0.1872899785469179,9.98046665,0.7306669999999986,0.6175368607402056,0.5362819765145159,11.398,19.542306190186974
2014-01-17,10.833333,11.513333,10.826667,11.398,179391000,75.36910554396566,67.03366002,127.42622529311764,232.8646720087359,9.50003996,9.952309702969128,10.52826665,9.769570087581323,0.2773605568383708,10.04216665,0.6866659999999989,0.6274124520630332,0.5470236925146201,11.334,19.00507834468089
2014-01-18,11.346,11.546667,21.491333,11.334,138093000,73.27046898040454,65.99811538469714,90.58240177095225,175.48647225086015,9.4909733,10.006495039388724,10.53212665,9.800707434606403,0.3396624565665487,10.1156,0.3499999999999996,0.5877821017683141,0.5329505715758819,11.778667,18.74343793642903
2014-01-23,11.854,12.021333,11.650667,11.904,105339000,79.43767756527498,70.45047469746048,88.90277311910708,132.75446175445802,9.57671998,10.147681943164685,10.54664665,9.881142191774932,0.4882884161894001,10.353200050000002,0.3706659999999999,0.544220728,0.5182005081039907,12.1,18.47269428839756
2014-01-24,11.815333,12.158667,11.561333,12.1,118011000,81.37756946304053,71.89377302,95.67593709772297,112.46447241702256,9.63478664,10.224245194066688,10.55693998,9.925291667646064,0.5518022144034678,10.479700050000002,0.597334,0.5518083381398132,0.5238529003966955,11.64,18.586288406897964
2014-01-25,11.856667,12.032,11.568667,11.64,114964500,64.67172727494147,63.99372983852575,45.315864742132845,81.82819468584545,9.6746533,10.27976621555724,10.56067331,9.959406630674623,0.5585802362377681,10.55700005,0.531333,0.5488832898341256,0.5243871932267685,11.308,18.560133951717376
