date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
1/2/2014,9.986667,10.165333,9.77,10.006667,92826000,55.34407089342224,54.440117846652825,-37.37364406,15.213422424213173,9.68210666,9.820166824312885,10.49423998,9.67428442,0.16947161056263305,9.74079995,0.3953330000000008,0.4026411651229593,0.4475496484415416,9.970667
1/3/2014,10,10.146,9.906667,9.970667,70425000,53.74262870999453,53.82152101490924,-81.30447089,17.48112987448799,9.6528,9.826069020017528,10.49569332,9.680190109,0.1626230229475354,9.776166649999999,0.23933300000000024,0.37931142724825084,0.4326770305962963,9.8
1/6/2014,10,10.026667,9.682667,9.8,80416500,46.32817440108696,50.87040959780368,-123.427544,-37.82470804,9.62946666,9.825046667557528,10.496739989999998,9.682577132228715,0.14178960507613247,9.7979,0.3439999999999994,0.37426693764135777,0.4263429569429573,9.957333
1/7/2014,9.841333,10.026667,9.683333,9.957333,75511500,53.26303664348189,53.40675031543484,-84.78465082,-20.77943148,9.59774666,9.830234551890282,10.503406649999999,9.688050546146261,0.13640207132586113,9.837900000000001,0.34333400000000047,0.36984794654973524,0.4204137456985703,10.085333
1/8/2014,9.923333,10.246667,9.917333,10.085333,92448000,58.36866023586809,55.423025782272944,60.79966223717453,43.570558657735944,9.57323998,9.840238755399689,10.51114665,9.695963871,0.14083745572657413,9.87016665,0.3293340000000011,0.3640602398997732,0.41390804954242383,9.835333
1/9/2014,10.166667,10.228667,9.79,9.835333,80730000,46.735192994451516,50.79922930279471,-19.6813938,0.3077872381904833,9.55279998,9.840046367,10.514833309999998,9.698739590624607,0.12276446684487752,9.887966650000001,0.4386670000000006,0.374718348,0.4156765460124686,9.714667
1/10/2014,9.897333,9.926667,9.483333,9.714667,111691500,42.01924127753384,48.687885384478506,-149.8968265,-95.0575794,9.527799980000001,9.835129373071146,10.51537998,9.69905677,0.097579915,9.9082,0.4433340000000001,0.384520584,0.4176520784492664,9.289333
1/13/2014,9.718667,9.8,9.188,9.289333,94741500,29.696194797246505,42.05306223341885,-174.2346917,-186.7602042,9.5012933,9.813724943247927,10.50855331,9.690898429465468,0.042806628,9.8811,0.6120000000000001,0.417017644,0.43153407290523604,10.751333
1/14/2014,9.366667,10.8,9.111333,10.751333,414105000,67.69233627245819,61.48274539627785,124.64114082664808,83.58407544425502,9.50306662,9.850494960280262,10.517493309999999,9.712011278089776,0.11603204067686335,9.9265,1.6886670000000006,0.5986818375302401,0.521329282,10.942
1/15/2014,11.23,11.482,10.806667,10.942,306984000,70.14716499013217,63.215027078534064,194.87958934391773,276.0370868426141,9.50567996,9.893300280323388,10.52217998,9.73649725,0.18728997854691798,9.98046665,0.7306669999999986,0.6175368607402056,0.5362819765145159,11.398
1/16/2014,10.833333,11.513333,10.826667,11.398,179391000,75.36910554396566,67.03366002,127.42622529311764,232.8646720087359,9.50003996,9.952309702969128,10.52826665,9.769570087581325,0.2773605568383708,10.04216665,0.6866659999999989,0.6274124520630332,0.5470236925146201,11.334
1/17/2014,11.346,11.546667,,11.334,138093000,73.27046898040454,65.99811538469714,90.58240177095223,175.48647225086015,9.4909733,10.006495039388724,10.53212665,9.800707434606403,0.3396624565665487,10.1156,0.34999999999999964,0.5877821017683141,0.5329505715758819,11.778667
,11.416,11.819333,11.387333,11.778667,146020500,78.19256588,69.52112939559771,86.92781442462113,154.1313502348479,9.52499998,10.07599370820382,10.538573320000001,9.840071404995491,0.4200757003909068,10.2354667,0.4853330000000007,0.5731465158014123,0.5295493164532566,11.904
1/22/2014,11.854,12.021333,11.650667,11.904,105339000,79.43767756527498,70.45047469746048,88.90277311910708,132.75446175445802,9.57671998,10.147681943164683,10.54664665,9.881142191774932,0.4882884161894001,10.353200050000002,0.37066599999999994,0.544220728,0.5182005081039907,12.1
1/23/2014,11.815333,12.158667,11.561333,12.1,118011000,81.37756946304053,71.89377302,95.67593709772295,112.46447241702255,9.63478664,10.224245194066688,10.55693998,9.925291667646064,0.5518022144034678,10.479700050000002,0.597334,0.5518083381398132,0.5238529003966955,11.64
1/24/2014,11.856667,12.032,11.568667,11.64,114964500,64.67172727494147,63.99372983852575,45.315864742132845,81.82819468584545,9.6746533,10.27976621555724,10.56067331,9.959406630674623,0.5585802362377681,10.55700005,0.531333,0.5488832898341256,0.5243871932267685,11.308
1/27/2014,11.677333,11.861333,10.980667,11.308,130746000,55.14026467477021,58.95817685661404,-62.2600521,45.93036775193477,9.717079960000001,10.32008996399184,10.56112664,9.986235048271503,0.5310407350067905,10.6040667,0.8806659999999997,0.5962808198578219,0.5498356794808299,11.892
1/28/2014,11.433333,11.932,11.4,11.892,91401000,65.55766267093458,64.28234893233537,27.39347089578121,67.77944983,9.769986620000001,10.38173475052876,10.56629997,10.024144156846457,0.5499993509808156,10.694933350000001,0.6240000000000006,0.600240703,0.5551331309573043,11.682
1/29/2014,11.686667,11.939333,11.542,11.682,89032500,59.73789433381102,61.20751734393952,-0.445171095,60.46666121845865,9.82015996,10.432726542602001,10.5698333,10.05711894326523,0.5418330318735958,10.770900000000001,0.3973329999999997,0.571253888,0.5438616930104064,12.189333
1/30/2014,11.866667,12.318667,11.800667,12.189333,128475000,67.79569878243751,65.50086716390624,135.67657912850999,91.11796818626938,9.88334662,10.501614365696682,10.5804133,10.099524990760317,0.5697311917228429,10.8789333,0.6366669999999992,0.580598618,0.5504906435213368,12.094
1/31/2014,11.923333,12.4,11.900667,12.094,97632000,64.94618462457025,64.06600179497252,102.14855419873456,92.24798061386218,9.96311996,10.564061989363697,10.59421997,10.139188224470104,0.5774911495381758,10.98329995,0.499333,0.5689892442881037,0.5468365261209803,11.807333
2/3/2014,12.192667,12.325333,11.677333,11.807333,101473500,56.60036254561115,59.82228652166309,37.70691948973433,63.527178049289475,10.03114662,10.612818561583671,10.60137997,10.172359069208607,0.5541217700680399,11.07513325,0.6479999999999997,0.5802764951040889,0.5540624885518824,11.915333
2/4/2014,12.046667,12.106667,11.746667,11.915333,70294500,58.920599905823046,60.873805140680055,24.788729889886383,57.78350396585172,10.10797328,10.66389841103836,10.611519970000002,10.207015009413562,0.538113034,11.1808999,0.35999999999999943,0.5488084243749333,0.5402008822072034,11.628
2/5/2014,11.886667,12.039333,11.290667,11.628,109020000,50.534784911224456,56.62755116921944,-100.1608623,-29.4005478,10.17773328,10.701706922301497,10.61784664,10.23526647631658,0.4965170833269159,11.26443325,0.748666,0.5773595066070857,0.5550912477833272,11.892
2/6/2014,11.753333,12.007333,11.733333,11.892,87624000,57.08234261,59.42786364741429,-14.41626745,33.26226037392571,10.25373328,10.748385800825455,10.62640664,10.268202380576971,0.47932917816387466,11.354766600000001,0.37933299999999903,0.5490700056632162,0.5425370872121126,12.435333
2/7/2014,12.067333,12.442,11.973333,12.435333,133927500,67.43296743783485,64.50692049732726,124.1865821022962,164.3140608171327,10.34131994,10.814541571468412,10.63970664,10.311281629859467,0.5037432333210639,11.484766599999999,0.5500000000000007,0.5492028619970426,0.5430701524118492,13.104
2/10/2014,12.622667,13.286667,12.621333,13.104,194560500,75.80952463386474,69.55772733423962,193.30017396244423,285.72411061705304,10.44273328,10.904325530867599,10.659926640000002,10.366792362649644,0.5704713479265866,11.65423325,0.8513339999999996,0.5923644531403222,0.5650889986912273,13.108
2/11/2014,13.264667,13.48,12.846667,13.108,160648500,75.85287070784068,69.58560978703493,124.97791127000774,209.50756854194626,10.535639940000001,10.99074531745754,10.68019331,10.421275134260977,0.6165692001331919,11.8451666,0.6333330000000004,0.5982171026917048,0.5699635702180273,13.021333
2/12/2014,13.052,13.218,12.954667,13.021333,77605500,72.56602541044725,68.12958718322497,76.99744946198771,145.76749020865935,10.62635994,11.07037725160809,10.691793310000001,10.472948691646396,0.6387457145405531,11.9586666,0.2633329999999994,0.5503765165928897,0.5480613866112287,13.308667
2/13/2014,12.889333,13.514667,12.883333,13.308667,120439500,76.50406454109559,70.34504690986766,72.62162345126744,130.9155159184673,10.72697328,11.15815442650711,10.702619980000001,10.529301706643043,0.6717625538593097,12.07699995,0.631334,0.5619418713653338,0.5540094304297045,13.215333
2/14/2014,13.206667,13.458667,13.133333,13.215333,92370000,72.55703417961517,68.67506114617014,65.94338248,108.3428785967133,10.7983466,11.238829072995832,10.71403331,10.582676287938902,0.6825295869017189,12.1678666,0.3253339999999998,0.5281407468845718,0.5376754711005671,13.58
2/18/2014,13.682667,13.733333,13.424,13.58,139992000,77.78210560281778,71.51992592664858,129.09449618090486,116.89765530915912,10.884679940000002,11.330640765789488,10.72827998,10.642232492828386,0.7122774266050218,12.2801666,0.5180000000000007,0.5266920687582045,0.5362700803066525,12.909333
2/19/2014,13.58,13.58,12.894,12.909333,242535000,55.222388973037546,60.61661846791795,-37.39602515,58.35941380872689,10.955559939999999,11.392550957231915,10.73387998,10.687276258427259,0.6739665155424195,12.3366999,0.6859999999999999,0.5494503446498895,0.546965075,13.998
2/20/2014,14.334,14.347333,13.751333,13.998,270034500,71.09767681516085,68.90386744,174.7335272344194,131.9984675366547,11.05237328,11.49472652687367,10.74809998,10.753050824832075,0.7231155451370839,12.441399899999999,1.4380000000000006,0.6763860096999055,0.6106104264332464,13.973333
2/21/2014,14.109333,14.265333,13.946,13.973333,117282000,70.43754154,68.55188358980588,110.17630904882627,118.70283982573633,11.143039940000001,11.591927783734178,10.76056664,10.817024409599295,0.7514142487211135,12.53506655,0.3193330000000003,0.6253784368856332,0.5898048959616736,14.51
2/24/2014,13.917333,14.557333,13.888,14.51,124176000,76.07585593664422,71.91351274893113,107.30518265436449,133.53409812624608,11.24365328,11.70636312,10.776753309999998,10.890383758224695,0.8078335150666778,12.678566550000001,0.669333,0.6316576601876857,0.5954854748246105,16.533333
2/25/2014,15.333333,17.280001,15.23,16.533333,490225500,86.99007679206628,80.41405801899556,213.0680046515598,251.29972765762244,11.38811994,11.895657862315419,10.81341997,11.002471467703971,1.0042360454743466,12.939833199999999,2.770000999999999,0.9371352801608733,0.7508080124147379,16.866667
2/26/2014,17.238667,17.666668,16.5,16.866667,369069000,88.03886491980346,81.41216065240734,135.63704681518993,215.86452183622757,11.52882662,12.090601181231929,10.86145331,11.118946718536552,1.173259132876618,13.188566549999999,1.1666680000000014,0.9699256687093202,0.7805122972560371,16.836
2/27/2014,17.416668,17.459999,16.555332,16.836,269187000,87.28362615,81.00317399792559,86.30205082413141,161.71998305257196,11.668679959999999,12.27669688889938,10.91427331,11.232492588346847,1.2898677838852457,13.44626655,0.9046669999999999,0.9606030017508458,0.7893804903129975,16.320667
2/28/2014,16.643333,16.845333,16.17,16.320667,218847000,74.71764336726535,74.25271166097197,45.35136458746848,104.26564627590153,11.79783996,12.435285291865608,10.95682665,11.333542398066523,1.325419304950655,13.652833249999997,0.6753329999999984,0.9198501443578676,0.7812342410016675,16.704
3/3/2014,15.817333,16.776667,15.666,16.704,196339500,77.52557950163387,75.86398766228851,30.238332570286577,81.81585234852174,11.92863996,12.602687227438885,11.00181998,11.440192118099246,1.3687478379176952,13.883333249999998,1.1106669999999994,0.9471096951638864,0.8047651523674315,16.989332
3/4/2014,17.232,17.333332,16.855333,16.989332,131184000,79.50251006850026,77.01692456589572,79.59803692,93.51497321638944,12.07111994,12.774713854201464,11.05522663,11.550383978386874,1.409857955,14.1424332,0.629332,0.9017128815690452,0.7922342129082929,16.844
3/5/2014,17.114668,17.132668,16.786667,16.844,89035500,75.55326823360433,75.05044805316665,43.57230758817939,74.91998480330057,12.220373279999999,12.934294898758328,11.11114663,11.655495949840677,1.4144065435628868,14.388866549999998,0.34600099999999756,0.82232547,0.7603604119760635,16.862667
3/6/2014,16.942667,17.166668,16.629999,16.862667,110416500,75.73389951,75.13825566146991,23.215042716129297,64.46342183958426,12.36663996,13.08834981567973,11.164486629999999,11.758885815567325,1.403340764613045,14.6505999,0.5366689999999998,0.7815174027854207,0.7443824539730215,16.414
3/7/2014,16.862667,16.99,16.294001,16.414,117184500,62.735698035438936,68.8648776,-49.5777454,43.66001248336354,12.50351996,13.218768372021461,11.209493299999998,11.851309508202474,1.3428874077230901,14.8766999,0.6959989999999969,0.7693004881017887,0.7409264929739939,15.922667
3/10/2014,16.18,16.200001,15.737333,15.922667,115921500,51.453228457337644,62.691983162206554,-142.6488396,5.411342907166822,12.620093299999999,13.324804316982764,11.24890664,11.932138940026073,1.2410254511011605,15.051066599999999,0.6766670000000019,0.7560671326586764,0.7363365291889604,15.627333
